,Passengers,TravelingTime,HighRiskAreas,FontainArea,ExpansionPhase,Population,Favelas,WaterSupply,HighIncomeHolder,LiterateHouseHolder,WomanHouseHolder,PopulationDensity,ImprovisedHousing,PermanentHousing,SewageCollection,GarbageCollection,YoungManRate,Verticalization,Bars,Schools,BusStops,Clusters
Orig,1.5580999999999998,35.3,0.0,0.0,3.0,0.5770000000000001,0.0,1.0,0.0204,0.9694,0.2551,1.0,0.0051,0.9949,1.0,1.0,0.0979,0.0152,0.0,0.0,0.396,-1.0
C1,1.5580999999999998,35.3,0.0,0.0,3.0,0.5770000000000001,0.0,1.0,0.0204,0.9694,0.2551,1.0,0.0051,0.9949,1.0,1.0,0.0979,0.0152,0.0,0.0,0.3626,6.0
C2,1.5580999999999998,35.3,0.0,0.0,3.0,0.5770000000000001,1.0,1.0,0.0204,0.9694,0.2551,1.0,0.0051,0.9949,1.0,1.0,0.0979,0.0152,0.0,0.0,0.396,6.0
C3,1.3333963999999998,35.3,0.0,0.0,3.0,0.5770000000000001,0.0,1.0,0.0204,0.9694,0.2551,1.0,0.0051,0.9949,1.0,1.0,0.102384,0.0152,0.0,0.0,0.396,24.0
C4,1.3333963999999998,35.3,0.0,0.0,3.0,0.5770000000000001,0.0,1.0,0.0204,0.9694,0.2551,1.0,0.0051,0.9949,1.0,1.0,0.0979,0.0,0.0,0.0,0.396,24.0
C5,1.5580999999999998,35.3,0.0,0.0,4.0,0.5770000000000001,0.0,1.0,0.0204,0.9694,0.2551,1.0,0.0051,0.9949,1.0,1.0,0.0979,0.0152,0.0,0.0,0.396,6.0
C6,1.3333963999999998,34.02439999999999,0.0,0.0,3.0,0.5770000000000001,0.0,1.0,0.0204,0.9694,0.2551,1.0,0.0,0.9949,1.0,1.0,0.0979,0.0152,0.0,0.0,0.396,13.0
C7,1.3333963999999998,35.3,0.0,0.0,3.0,0.575,0.0,1.0,0.0204,0.9694,0.2551,1.0,0.0,0.9949,1.0,1.0,0.0979,0.0152,0.0,0.0,0.396,13.0
C8,1.5580999999999998,35.3,0.0,1.0,3.0,0.5770000000000001,0.0,1.0,0.0204,0.9694,0.2551,1.0,0.0051,0.9949,1.0,1.0,0.0979,0.0152,0.0,0.0,0.396,2.0
C9,1.5580999999999998,35.3,0.0,0.0,3.0,0.5770000000000001,0.0,1.0,0.07236000000000001,0.9694,0.2551,1.0,0.0,0.9949,1.0,1.0,0.0979,0.0,0.0,0.0,0.396,17.0
C10,1.3333963999999998,35.3,0.0,0.0,3.0,0.5770000000000001,0.0,1.0,0.07236000000000001,0.9694,0.2551,1.0,0.0051,0.9949,1.0,1.0,0.0979,0.0152,0.0,0.0,0.396,2.0
C11,1.5580999999999998,35.3,0.0,0.0,3.0,0.5770000000000001,0.0,1.0,0.07236000000000001,0.9694,0.2551,1.0,0.0051,0.9949,1.0,1.0,0.102384,0.0152,0.0,0.0,0.396,15.0
C12,1.3333963999999998,35.3,0.0,0.0,3.0,0.5770000000000001,0.0,1.0,0.0204,0.9508408000000004,0.2551,1.0,0.0051,0.9949,1.0,1.0,0.0979,0.0152,0.0,0.0,0.396,24.0
C13,1.5580999999999998,35.3,0.0,0.0,3.0,0.5770000000000001,0.0,1.0,0.07236000000000001,0.9508408000000004,0.2551,1.0,0.0051,0.9949,1.0,1.0,0.0979,0.0,0.0,0.0,0.396,14.0
C14,1.5580999999999998,35.3,0.0,0.0,3.0,0.5770000000000001,0.0,1.0,0.07236000000000001,0.9508408000000004,0.2551,1.0,0.0,0.9949,1.0,1.0,0.0979,0.0152,0.0,0.0,0.396,22.0
C15,1.3333963999999998,34.02439999999999,0.0,0.0,3.0,0.5770000000000001,0.0,1.0,0.0204,0.9694,0.2551,1.0,0.0051,0.9999999999999994,1.0,1.0,0.0979,0.0152,0.0,0.0,0.396,4.0
